"code","label","level"
"00 31 31.19","Magnetic Investigations Information",5
"00 31 31.23","Electromagnetic Investigations Information",5
"00 31 31.26","Electrical Resistivity Investigations Information",5
"00 31 31.29","Magnetotelluric Investigations Information",5
"00 31 32","Geotechnical Data",4
"00 31 32.13","Subsurface Drilling and Sampling Information",5
"00 31 32.16","Material Testing Information",5
"00 31 32.19","Exploratory Excavation Information",5
"00 31 32.23","Geotechnical Monitoring Information",5
"00 31 43","Permit Application",4
"00 31 46","Permits",4
"00 40 00","Procurement Forms and Supplements",2
"00 41 00","Bid Forms",3
"00 41 13","Bid Form - Stipulated Sum (Single-Prime Contract)",4
"00 41 16","Bid Form - Stipulated Sum (Multiple-Prime Contract)",4
"00 41 23","Bid Form - Construction Management (Single-Prime Contract)",4
"00 41 26","Bid Form - Construction Management (Multiple-Prime Contract)",4
"00 41 33","Bid Form - Cost-Plus-Fee (Single-Prime Contract)",4
"00 41 36","Bid Form - Cost-Plus-Fee (Multiple-Prime Contract)",4
"00 41 43","Bid Form - Unit Price (Single-Prime Contract)",4
"00 41 46","Bid Form - Unit Price (Multiple-Prime Contract)",4
"00 41 53","Bid Form - Design/Build (Single-Prime Contract)",4
"00 41 56","Bid Form - Design/Build (Multiple-Prime Contract)",4
"00 41 63","Bid Form - Purchase Contract",4
"00 42 00","Proposal Forms",3
"00 42 13","Proposal Form - Stipulated Sum (Single-Prime Contract)",4
"00 42 16","Proposal Form - Stipulated Sum (Multiple-Prime Contract)",4
"00 42 23","Proposal Form - Construction Management (Single-Prime Contract)",4
"00 42 26","Proposal Form - Construction Management (Multiple-Prime Contract)",4
"00 42 33","Proposal Form - Cost-Plus-Fee (Single-Prime Contract)",4
"00 42 36","Proposal Form - Cost-Plus-Fee (Multiple-Prime Contract)",4
"00 42 43","Proposal Form - Unit Price (Single-Prime Contract)",4
"00 42 46","Proposal Form - Unit Price (Multiple-Prime Contract)",4
"00 42 53","Proposal Form - Design/Build (Single-Prime Contract)",4
"00 42 56","Proposal Form - Design/Build (Multiple-Prime Contract)",4
"00 42 63","Proposal Form - Purchase Contract",4
"00 42 73","Proposal Form - Performance Contract",4
"00 43 00","Procurement Form Supplements",3
"00 43 13","Bid Security Form",4
"00 43 21","Allowance Form",4
"00 43 22","Unit Prices Form",4
"00 43 23","Alternates Form",4
"00 43 25","Substitution Request Form (During Procurement)",4
"00 43 26","Estimated Quantities Form",4
"00 43 27","Separate Prices Break-Out Form",4
"00 43 28","Tax Rebate Form",4
"00 43 33","Proposed Products Form",4
"00 43 36","Proposed Subcontractors Form",4
"00 43 39","Minority Business Enterprise Statement of Intent Form",4
"00 43 43","Wage Rates Form",4
"00 43 73","Proposed Schedule of Values Form",4
"00 43 83","Proposed Construction Schedule Form",4
"00 43 86","Proposed Work Plan Schedule Form",4
"00 43 93","Bid Submittal Checklist",4
"00 45 00","Representations and Certifications",3
"00 45 13","Bidder's Qualifications",4
"00 45 16","Proposer's Qualifications",4
"00 45 19","Non-Collusion Affidavit",4
"00 45 23","Statement of Disposal Facility",4
"00 45 26","Workers Compensation Certificate Schedule",4
"00 45 33","Non-Segregated Facilities Affidavit",4
"00 45 36","Equal Employment Opportunity Affidavit",4
"00 45 39","Minority Business Enterprise Affidavit",4
"00 45 43","Corporate Resolutions",4
"00 45 46","Governmental Certifications",4
"00 50 00","Contracting Forms and Supplements",2
"00 51 00","Notice of Award",3
"00 52 00","Agreement Forms",3
"00 52 13","Agreement Form - Stipulated Sum (design/bid/build or design/negotiate/build)",4
"00 52 14","Subcontract Form - Stipulated Sum (design/bid/build or design/negotiate/build)",4
"00 52 16","Agreement Form - Cost-Plus (design/bid/build or design/negotiate/build)",4
"00 52 17","Subcontract Form - Cost-Plus (design/bid/build or design/negotiate/build)",4
"00 52 23","Agreement Form - Construction Manager as Agent or Advisor - Stipulated Sum",4
"00 52 24","Subcontract Form - Construction Manager as Agent or Adviser - Stipulated Sum",4
"00 52 26","Agreement Form - Construction Manager as Agent or Adviser - Cost-Plus",4
"00 52 27","Subcontract Form - Construction Manager as Agent or Adviser - Cost-Plus",4
"00 52 33","Agreement Form - Construction Manager at Risk - Stipulated Sum",4
"00 52 34","Subcontract Form - Construction Manager at Risk - Stipulated Sum",4
"00 52 36","Agreement Form - Construction Manager at Risk - Cost-Plus",4
"00 52 37","Subcontract Form - Construction Manager at Risk - Cost-Plus",4
"00 52 51","Public-Private Partnership Agreement",4
"00 52 52","Agreement for Preliminary Services - Owner-Design/Builder",4
"00 52 53","Agreement Form - Owner-Design/Builder - Stipulated Sum",4
"00 52 54","Subcontract Form - Design/Build - Stipulated Sum",4
"00 52 56","Agreement Form - Owner-Design/Builder - Cost-Plus",4
"00 52 57","Subcontract Form - Design/Build - Cost-Plus",4
"00 52 63","Agreement Form - Purchase - Stipulated Price",4
"00 52 73","Agreement Form - Performance Contract",4
"00 52 93","Multi-Party Agreement Form - Integrated Project Delivery",4
"00 52 96","Agreement between Single-Purpose Entity and Owner - Integrated Project Delivery",4
"00 52 97","Agreement between Single-Purpose Entity and Non-Owner - Integrated Project Delivery",4
"00 52 98","Agreement between Single-Purpose Entity and Consultant - Integrated Project Delivery",4
"00 54 00","Agreement Form Supplements",3
"00 54 13","Supplementary Scope Statement",4
"00 54 21","Allowances Schedule",4
"00 54 22","Unit Prices Schedule",4
"00 54 33","Digital/Electronic Data Protocol Exhibit",4
"00 54 36","Building Information Modeling Exhibit",4
"00 55 00","Notice to Proceed",3
"00 60 00","Project Forms",2
"00 61 00","Bond Forms",3
"00 61 13","Performance and Payment Bond Form",4
"00 61 13.13","Performance Bond Form",5
"00 61 13.16","Payment Bond Form",5
"00 61 16","Lien Bond Form",4
"00 61 19","Maintenance Bond Form",4
"00 61 23","Retainage Bond Form",4
"00 61 26","Special Bond Form",4
"00 62 00","Certificates and Other Forms",3
"00 62 11","Submittal Transmittal Form",4
"00 62 16","Certificate of Insurance Form",4
"00 62 19","Infection Control Form",4
"00 62 23","Construction Waste Diversion Form",4
"00 62 33","Products Form",4
"00 62 34","Recycled Content of Materials Form",4
"00 62 39","Minority Business Enterprise Certification Form",4
"00 62 73","Schedule of Values Form",4
"00 62 76","Application for Payment Form",4
"00 62 76.13","Sales Tax Form",5
"00 62 76.16","Consent of Surety to Reduction of Retainage Form",5
"00 62 79","Stored Material Form",4
"00 62 83","Construction Schedule Form",4
"00 62 86","Work Plan Schedule Form",4
"00 62 89","Construction Equipment Form",4
"00 63 00","Clarification and Modification Forms",3
"00 63 13","Request for Interpretation Form",4
"00 63 19","Clarification Form",4
"00 63 25","Substitution Request Form (During Construction)",4
"00 63 33","Supplemental Instruction Form",4
"00 63 36","Field Order Form",4
"00 63 43","Written Amendment Form",4
"00 63 46","Construction Change Directive Form",4
"00 63 49","Work Change Directive Form",4
"00 63 53","Request for Proposal Form",4
"00 63 54","Proposal Worksheet Summary Form",4
"00 63 55","Proposal Worksheet Detail Form",4
"00 63 57","Change Order Request Form",4
"00 63 63","Change Order Form",4
"00 65 00","Closeout Forms",3
"00 65 13","Certificate of Compliance Form",4
"00 65 16","Certificate of Substantial Completion Form",4
"00 65 19","Certificate of Completion Form",4
"00 65 19.13","Affidavit of Payment of Debts and Claims Form",5
"00 65 19.16","Affidavit of Release of Liens Form",5
"00 65 19.19","Consent of Surety to Final Payment Form",5
"00 65 19.23","Acceptance Certificate Form",5
"00 65 19.26","Final Settlement Certificate Form",5
"00 65 36","Warranty Form",4
"00 65 73","Statutory Declaration Form",4
"00 70 00","Conditions of the Contract",2
"00 71 00","Contracting Definitions",3
"00 72 00","General Conditions",3
"00 72 13","General Conditions - Stipulated Sum (Single-Prime Contract)",4
"00 72 16","General Conditions - Stipulated Sum (Multiple-Prime Contract)",4
"00 72 23","General Conditions - Construction Management (Single-Prime Contract)",4
"00 72 26","General Conditions - Construction Management (Multiple-Prime Contract)",4
"00 72 33","General Conditions - Cost Plus-Fee (Single-Prime Contract)",4
"00 72 36","General Conditions - Cost-Plus-Fee (Multiple-Prime Contract)",4
"00 72 43","General Conditions - Unit Price (Single-Prime Contract)",4
"00 72 46","General Conditions - Unit Price (Multiple-Prime Contract)",4
"00 72 53","General Conditions - Design/Build (Single-Prime Contract)",4
"00 72 56","General Conditions - Design/Build (Multiple-Prime Contract)",4
"00 72 73","General Conditions - Performance Contract",4
"00 72 95","General Conditions - Integrated Project Delivery",4
"00 73 00","Supplementary Conditions",3
"00 73 16","Insurance Requirements",4
"00 73 19","Health and Safety Requirements",4
"00 73 23","Purchase Contracts",4
"00 73 26","Assigned Contracts",4
"00 73 33","Non-Segregated Facilities Requirements",4
"00 73 36","Equal Employment Opportunity Requirements",4
"00 73 39","Minority Business Enterprise Requirements",4
"00 73 43","Wage Rate Requirements",4
"00 73 46","Wage Determination Schedule",4
"00 73 49","Labor Stabilization Agreement",4
"00 73 53","Anti-Pollution Measures",4
"00 73 63","Security Requirements",4
"00 73 73","Statutory Requirements",4
"00 73 83","Dispute Resolution",4
"00 90 00","Revisions, Clarifications, and Modifications",2
"00 91 00","Precontract Revisions",3
"00 91 13","Addenda",4
"00 91 16","Bid Revisions",4
"00 91 19","Proposal Revisions",4
"00 93 00","Record Clarifications and Proposals",3
"00 93 13","Record Requests for Interpretation",4
"00 93 19","Record Clarification Notices",4
"00 93 53","Record Proposal Requests",4
"00 93 54","Record Proposal Worksheet Summaries",4
"00 93 57","Record Change Order Requests",4
"00 94 00","Record Modifications",3
"00 94 33","Record Minor Changes in the Work",4
"00 94 36","Record Supplemental Instructions",4
"00 94 39","Record Field Orders",4
"00 94 43","Record Amendments",4
"00 94 46","Record Construction Change Directives",4
"00 94 49","Record Work Change Directives",4
"00 94 63","Record Change Orders",4
"01 00 00","General Requirements",1
"01 10 00","Summary",2
"01 11 00","Summary of Work",3
"01 11 13","Work Covered by Contract Documents",4
"01 11 16","Work by Owner",4
"01 11 19","Purchase Contracts",4
"01 12 00","Multiple Contract Summary",3
"01 12 13","Summary of Contracts",4
"01 12 16","Work Sequence",4
"01 12 19","Contract Interface",4
"01 14 00","Work Restrictions",3
"01 14 13","Access to Site",4
"01 14 16","Coordination with Occupants",4
"01 14 19","Use of Site",4
"01 14 33","Work in Rights-of-Way",4
"01 18 00","Project Utility Sources",3
"01 18 13","Utility Service Connections",4
"01 20 00","Price and Payment Procedures",2
"01 21 00","Allowances",3
"01 21 13","Cash Allowances",4
"01 21 16","Contingency Allowances",4
"01 21 19","Testing and Inspecting Allowances",4
"01 21 23","Installation Allowances",4
"01 21 26","Product Allowances",4
"01 21 29","Quantity Allowances",4
"01 21 43","Time Allowances",4
"01 22 00","Unit Prices",3
"01 22 13","Unit Price Measurement",4
"01 22 16","Unit Price Payment",4
"01 23 00","Alternates",3
"01 24 00","Value Analysis",3
"01 24 13","Value Engineering",4
"01 25 00","Substitution Procedures",3
"01 25 13","Product Substitution Procedures",4
"01 25 16","Execution Substitution Procedures",4
"01 26 00","Contract Modification Procedures",3
"01 26 13","Requests for Interpretation",4
"01 26 19","Clarification Notices",4
"01 26 33","Minor Changes in the Work",4
"01 26 36","Supplemental Instructions",4
"01 26 39","Field Orders",4
"01 26 43","Amendments",4
"01 26 46","Construction Change Directives",4
"01 26 49","Work Change Directives",4
"01 26 53","Proposal Requests",4
"01 26 54","Proposal Worksheet Summaries",4
"01 26 57","Change Order Requests",4
"01 26 63","Change Orders",4
"01 29 00","Payment Procedures",3
"01 29 73","Schedule of Values",4
"01 29 76","Progress Payment Procedures",4
"01 29 83","Payment Procedures for Testing Laboratory Services",4
"01 30 00","Administrative Requirements",2
"01 31 00","Project Management and Coordination",3
"01 31 13","Project Coordination",4
"01 31 14","Facility Services Coordination",4
"01 31 16","Multiple Contract Coordination",4
"01 31 19","Project Meetings",4
"01 31 19.13","Preconstruction Meetings",5
"01 31 19.16","Site Mobilization Meetings",5
"01 31 19.23","Progress Meetings",5
"01 31 19.33","Preinstallation Meetings",5
"01 31 23","Project Web Site",4
"01 31 26","Electronic Communication Protocols",4
"01 32 00","Construction Progress Documentation",3
"01 32 13","Scheduling of Work",4
"01 32 16","Construction Progress Schedule",4
"01 32 16.13","Network Analysis Schedules",5
"01 32 19","Submittals Schedule",4
"01 32 23","Survey and Layout Data",4
"01 32 26","Construction Progress Reporting",4
"01 32 29","Periodic Work Observation",4
"01 32 33","Photographic Documentation",4
"01 32 36","Video Monitoring and Documentation",4
"01 32 43","Purchase Order Tracking",4
"01 33 00","Submittal Procedures",3
"01 33 13","Certificates",4
"01 33 16","Design Data",4
"01 33 19","Field Test Reporting",4
"01 33 23","Shop Drawings, Product Data, and Samples",4
"01 33 26","Source Quality Control Reporting",4
"01 33 29","Sustainable Design Reporting",4
"01 33 29.01","Material Cost Summary Form",5
"01 33 29.02","Wood-Containing Product List",5
"01 33 29.03","Metal-Containing Product List",5
"01 33 29.04","Material Content Form",5
"01 33 29.05","New Product Source Form",5
"01 33 29.06","Reused Product Form",5
"01 33 29.07","Prohibited Content Installer Certification",5
"01 35 00","Special Procedures",3
"01 35 03","Conservation Treatment Procedures",4
"01 35 13","Special Project Procedures",4
"01 35 13.13","Special Project Procedures for Airport Facilities",5
"01 35 13.16","Special Project Procedures for Detention Facilities",5
"01 35 13.19","Special Project Procedures for Healthcare Facilities",5
"01 35 13.26","Special Project Procedures for Clean Rooms",5
"01 35 13.43","Special Project Procedures for Contaminated Sites",5
"01 35 16","Alteration Project Procedures",4
"01 35 23","Owner Safety Requirements",4
"01 35 26","Governmental Safety Requirements",4
"01 35 29","Health, Safety, and Emergency Response Procedures",4
"01 35 29.13","Health, Safety, and Emergency Response Procedures for Contaminated Sites",5
"01 35 33","Infection Control Procedures",4
"01 35 43","Environmental Procedures",4
"01 35 43.13","Environmental Procedures for Hazardous Materials",5
"01 35 43.16","Environmental Procedures for Toxic Materials",5
"01 35 46","Indoor Air Quality Procedures",4
"01 35 53","Security Procedures",4
"01 35 63","Sustainability Certification Project Requirements",4
"01 35 66","Sustainability Certification Project Procedures",4
"01 35 73","Delegated Design Procedures",4
"01 35 91","Period Treatment Procedures",4
"01 40 00","Quality Requirements",2
"01 41 00","Regulatory Requirements",3
"01 41 13","Codes",4
"01 41 16","Laws",4
"01 41 19","Rules",4
"01 41 23","Fees",4
"01 41 26","Permit Requirements",4
"01 42 00","References",3
"01 42 13","Abbreviations and Acronyms",4
"01 42 16","Definitions",4
"01 42 19","Reference Standards",4
"01 43 00","Quality Assurance",3
"01 43 13","Manufacturer Qualifications",4
"01 43 16","Supplier Qualifications",4
"01 43 19","Fabricator Qualifications",4
"01 43 23","Installer Qualifications",4
"01 43 26","Testing and Inspecting Agency Qualifications",4
"01 43 29","Code-Required Special Inspector Qualifications",4
"01 43 33","Manufacturer's Field Services",4
"01 43 36","Field Samples",4
"01 43 39","Mockups",4
"01 45 00","Quality Control",3
"01 45 13","Source Quality Control Procedures",4
"01 45 16","Field Quality Control Procedures",4
"01 45 16.13","Contractor Quality Control",5
"01 45 23","Testing and Inspecting Services",4
"01 45 26","Plant Inspection Procedures",4
"01 45 29","Testing Laboratory Services",4
"01 45 33","Code-Required Special Inspections and Procedures",4
"01 50 00","Temporary Facilities and Controls",2
"01 51 00","Temporary Utilities",3
"01 51 13","Temporary Electricity",4
"01 51 16","Temporary Fire Protection",4
"01 51 19","Temporary Fuel Oil",4
"01 51 23","Temporary Heating, Cooling, and Ventilating",4
"01 51 26","Temporary Lighting",4
"01 51 29","Temporary Natural-Gas",4
"01 51 33","Temporary Telecommunications",4
"01 51 36","Temporary Water",4
"01 52 00","Construction Facilities",3
"01 52 13","Field Offices and Sheds",4
"01 52 16","First Aid Facilities",4
"01 52 19","Sanitary Facilities",4
"01 53 00","Temporary Construction",3
"01 53 13","Temporary Bridges",4
"01 53 16","Temporary Decking",4
"01 53 19","Temporary Overpasses",4
"01 53 23","Temporary Ramps",4
"01 53 26","Temporary Runarounds",4
"01 54 00","Construction Aids",3
"01 54 13","Temporary Elevators",4
"01 54 16","Temporary Hoists",4
"01 54 19","Temporary Cranes",4
"01 54 23","Temporary Scaffolding and Platforms",4
"01 54 26","Temporary Swing Staging",4
"01 55 00","Vehicular Access and Parking",3
"01 55 13","Temporary Access Roads",4
"01 55 16","Haul Routes",4
"01 55 19","Temporary Parking Areas",4
"01 55 23","Temporary Roads",4
"01 55 26","Traffic Control",4
"01 55 29","Staging Areas",4
"01 56 00","Temporary Barriers and Enclosures",3
"01 56 13","Temporary Air Barriers",4
"01 56 16","Temporary Dust Barriers",4
"01 56 19","Temporary Noise Barriers",4
"01 56 23","Temporary Barricades",4
"01 56 26","Temporary Fencing",4
"01 56 29","Temporary Protective Walkways",4
"01 56 33","Temporary Security Barriers",4
"01 56 36","Temporary Security Enclosures",4
"01 56 39","Temporary Tree and Plant Protection",4
"01 57 00","Temporary Controls",3
"01 57 13","Temporary Erosion and Sediment Control",4
"01 57 16","Temporary Pest Control",4
"01 57 19","Temporary Environmental Controls",4
"01 57 23","Temporary Storm Water Pollution Control",4
"01 57 26","Site Watering for Dust Control",4
"01 58 00","Project Identification",3
"01 58 13","Temporary Project Signage",4
"01 58 16","Temporary Interior Signage",4
"01 60 00","Product Requirements",2
"01 61 00","Common Product Requirements",3
"01 61 13","Software Licensing Requirements",4
"01 62 00","Product Options",3
"01 64 00","Owner-Furnished Products",3
"01 65 00","Product Delivery Requirements",3
"01 66 00","Product Storage and Handling Requirements",3
"01 66 13","Product Storage and Handling Requirements for Hazardous Materials",4
"01 66 16","Product Storage and Handling Requirements for Toxic Materials",4
"01 70 00","Execution and Closeout Requirements",2
"01 71 00","Examination and Preparation",3
"01 71 13","Mobilization",4
"01 71 16","Acceptance of Conditions",4
"01 71 23","Field Engineering",4
"01 71 23.13","Construction Layout",5
"01 71 23.16","Construction Surveying",5
"01 71 33","Protection of Adjacent Construction",4
"01 71 36","Non-Destructive Concrete Examination",4
"01 73 00","Execution",3
"01 73 13","Application",4
"01 73 16","Erection",4
"01 73 19","Installation",4
"01 73 23","Bracing and Anchoring",4
"01 73 26","Existing Products",4
"01 73 29","Cutting and Patching",4
"01 74 00","Cleaning and Waste Management",3
"01 74 13","Progress Cleaning",4
"01 74 16","Site Maintenance",4
"01 74 19","Construction Waste Management and Disposal",4
"01 74 23","Final Cleaning",4
"01 75 00","Starting and Adjusting",3
"01 75 13","Checkout Procedures",4
"01 75 16","Startup Procedures",4
"01 76 00","Protecting Installed Construction",3
"01 77 00","Closeout Procedures",3
"01 77 13","Preliminary Closeout Reviews",4
"01 77 16","Final Closeout Review",4
"01 77 19","Closeout Requirements",4
"01 78 00","Closeout Submittals",3
"01 78 13","Completion and Correction List",4
"01 78 19","Maintenance Contracts",4
"01 78 23","Operation and Maintenance Data",4
"01 78 23.13","Operation Data",5
"01 78 23.16","Maintenance Data",5
"01 78 23.19","Preventative Maintenance Instructions",5
"01 78 29","Final Site Survey",4
"01 78 33","Bonds",4
"01 78 36","Warranties",4
"01 78 39","Project Record Documents",4
"01 78 43","Spare Parts",4
"01 78 46","Extra Stock Materials",4
"01 78 53","Sustainable Design Closeout Documentation",4
"01 79 00","Demonstration and Training",3
"01 80 00","Performance Requirements",2
"01 81 00","Facility Performance Requirements",3
"01 81 13","Sustainable Design Requirements",4
"01 81 16","Facility Environmental Requirements",4
"01 81 19","Indoor Air Quality Requirements",4
"01 82 00","Facility Substructure Performance Requirements",3
"01 82 13","Foundation Performance Requirements",4
"01 82 16","Basement Construction Performance Requirements",4
"01 83 00","Facility Shell Performance Requirements",3
"01 83 13","Superstructure Performance Requirements",4
"01 83 16","Exterior Enclosure Performance Requirements",4
"01 83 19","Roofing Performance Requirements",4
"01 84 00","Interiors Performance Requirements",3
"01 84 13","Interior Construction Performance Requirements",4
"01 84 16","Stairways Performance Requirements",4
"01 84 19","Interior Finishes Performance Requirements",4
"01 85 00","Conveying Equipment Performance Requirements",3
"01 86 00","Facility Services Performance Requirements",3
"01 86 13","Fire Suppression Performance Requirements",4
"01 86 16","Plumbing Performance Requirements",4
"01 86 19","HVAC Performance Requirements",4
"01 86 23","Integrated Automation Performance Requirements",4
"01 86 26","Electrical Performance Requirements",4
"01 86 29","Communications Performance Requirements",4
"01 86 33","Electronic Safety and Security Performance Requirements",4
"01 87 00","Equipment and Furnishings Performance Requirements",3
"01 87 13","Equipment Performance Requirements",4
"01 87 16","Furnishings Performance Requirements",4
"01 88 00","Other Facility Construction Performance Requirements",3
"01 88 13","Special Construction Performance Requirements",4
"01 88 16","Selective Construction Performance Requirements",4
"01 89 00","Site Construction Performance Requirements",3
"01 89 13","Site Preparation Performance Requirements",4
"01 89 16","Site Improvements Performance Requirements",4
"01 89 19","Site Plumbing Utilities Performance Requirements",4
"01 89 23","Site HVAC Utilities Performance Requirements",4
"01 89 26","Site Electrical Utilities Performance Requirements",4
"01 89 29","Other Site Construction Performance Requirements",4
"01 90 00","Life Cycle Activities",2
"01 91 00","Commissioning",3
"01 91 13","General Commissioning Requirements",4
"01 91 16","Facility Substructure Commissioning",4
"01 91 16.13","Foundation Commissioning",5
"01 91 16.53","Basement Construction Commissioning",5
"01 91 19","Facility Shell Commissioning",4
"01 91 19.13","Superstructure Commissioning",5
"01 91 19.43","Exterior Enclosure Commissioning",5
"01 91 19.73","Roofing Commissioning",5
"01 91 23","Interiors Commissioning",4
"01 91 23.13","Interior Construction Commissioning",5
"01 91 23.43","Stairways Commissioning",5
"01 91 23.73","Interior Finishes Commissioning",5
"01 92 00","Facility Operation",3
"01 92 13","Facility Operation Procedures",4
"01 93 00","Facility Maintenance",3
"01 93 13","Facility Maintenance Procedures",4
"01 93 16","Recycling Programs",4
"01 94 00","Facility Decommissioning",3
"01 94 13","Facility Decommissioning Procedures",4
"02 00 00","Existing Conditions",1
"02 01 00","Maintenance of Existing Conditions",3
"02 01 50","Maintenance of Site Remediation",4
"02 01 65","Maintenance of Underground Storage Tank Removal",4
"02 01 80","Maintenance of Facility Remediation",4
"02 01 86","Maintenance of Hazardous Waste Drum Handling",4
"02 03 00","Conservation Treatment for Existing Period Conditions",3
"02 03 01","Maintenance of Existing Period Conditions",4
"02 03 01.19","Mothballing Period Structures",5
"02 03 41","Selective Demolition for Period Structures",4
"02 03 42","Removal and Salvage of Period Construction Materials",4
"02 03 43","Period Structure Relocating",4
"02 03 44","Shoring and Support of Period Structures",4
"02 05 00","Common Work Results for Existing Conditions",3
"02 05 19","Geosynthetics for Existing Conditions",4
"02 05 19.13","Geotextiles for Existing Conditions",5
"02 05 19.16","Geomembranes for Existing Conditions",5
"02 05 19.19","Geogrids for Existing Conditions",5
"02 06 00","Schedules for Existing Conditions",3
"02 06 13","Geotechnical Baseline Report",4
"02 06 14","Geotechnical Data Report",4
"02 06 30","Schedules for Subsurface Investigations",4
"02 06 30.13","Boring or Test Pit Log Schedule",5
"02 06 50","Schedules for Site Remediation",4
"02 06 65","Schedules for Underground Storage Tank Removal",4
"02 06 80","Schedules for Facility Remediation",4
"02 06 86","Schedules for Hazardous Waste Drum Handling",4
"02 08 00","Commissioning of Existing Conditions",3
"02 20 00","Assessment",2
"02 21 00","Surveys",3
"02 21 13","Site Surveys",4
"02 21 13.13","Boundary and Survey Markers",5
"02 21 13.23","Archeological and Historic Surveys",5
"02 21 16","Measured Drawings",4
"02 22 00","Existing Conditions Assessment",3
"02 22 13","Movement and Vibration Assessment",4
"02 22 16","Acoustic Assessment",4
"02 22 19","Traffic Assessment",4
"02 22 23","Accessibility Assessment",4
"02 24 00","Environmental Assessment",3
"02 24 13","Natural Environment Assessment",4
"02 24 13.13","Air Assessment",5
"02 24 13.43","Water Assessment",5
"02 24 13.73","Land Assessment",5
"02 24 23","Chemical Sampling and Analysis of Soils",4
"02 24 43","Transboundary and Global Environmental Aspects Assessment",4
"02 25 00","Existing Material Assessment",3
"02 25 16","Existing Concrete Assessment",4
"02 25 16.13","Concrete Assessment Drilling",5
"02 25 19","Existing Masonry Assessment",4
"02 25 19.13","Masonry Assessment Drilling",5
"02 25 23","Existing Metals Assessment",4
"02 25 23.13","Welding Investigations",5
"02 25 26","Existing Wood, Plastics, and Composites Assessment",4
"02 25 29","Existing Thermal and Moisture Protection Assessment",4
"02 25 29.13","Waterproofing Investigations",5
"02 25 29.23","Roofing Investigations",5
"02 26 00","Hazardous Material Assessment",3
"02 26 23","Asbestos Assessment",4
"02 26 26","Lead Assessment",4
"02 26 29","Polychlorinated Biphenyl Assessment",4
"02 26 33","Biological Assessment",4
"02 26 33.13","Mold Assessment",5
"02 26 36","Hazardous Waste Drum Assessment",4
"02 30 00","Subsurface Investigation",2
"02 31 00","Geophysical Investigations",3
"02 31 13","Seismic Investigations",4
"02 31 16","Gravity Investigations",4
"02 31 19","Magnetic Investigations",4
